bures	ˈburɛs
chopru	ˈxɔpru
trop	ˈtrɔp
balím	ˈbaɫiːm
zakodovaný	ˈzakɔdɔvaniː
sove	ˈsɔvɛ
pochopí	ˈpɔxɔpiː
saf	ˈsaf
jom	ˈjɔm
doral	ˈdɔral
tajoch	ˈtajɔx
započujem	ˈzapɔtʃujɛm
vyplatu	ˈviplatu
hasar	ˈɦasar
zabudnem	ˈzabudɲɛm
koču	ˈkɔtʃu
duca	ˈdutsa
zvratok	ˈzvratɔk
karol	ˈkarɔl
kusa	ˈkusa
poškrabem	ˈpɔʃkrabɛm
jambe	ˈjambɛ
zasuň	ˈzasuɲ
skurven	ˈskurvɛn
zvejme	ˈzvɛjmɛ
dors	ˈdɔrs
beds	ˈbɛds
vrakov	ˈvrakɔv
vobec	ˈvɔbɛt
koral	ˈkɔral
zdobíš	ˈzdɔbiːʃ
povesíš	ˈpɔvɛsiːʃ
masoví	ˈmasɔviː
šokuj	ˈʃɔkuj
kova	ˈkɔva
zosuv	ˈzɔsuv
beza	ˈbɛza
kos	ˈkɔs
sabor	ˈsabɔr
spon	ˈspɔn
medrano	ˈmɛdranɔ
zajest	ˈzajɛst
krasoň	ˈkrasɔɲ
škvarí	ˈʃkvariː
dolku	ˈdɔɫku
zahrala	ˈzaɦrala
vojím	ˈvɔjiːm
zrobím	ˈzrɔbiːm
zmestí	ˈzmɛstiː
vežký	ˈvɛʒkiː
dovera	ˈdɔvɛra
wore	ˈɔrɛ
zostromu	ˈzɔstrɔmu
chola	ˈxɔɫa
výmol	ˈviːmɔl
hoke	ˈɦɔkɛ
dortu	ˈdɔrtu
zvonu	ˈzvɔnu
zahada	ˈzaɦada
puis	ˈpus
bolá	ˈbɔɫaː
štvem	ˈʃtvɛm
bata	ˈbata
zmrvený	ˈzmrvɛniː
presno	ˈprɛsnɔ
vojsk	ˈvɔjsk
kosí	ˈkɔsiː
výchove	ˈviːxɔvɛ
veľkus	ˈvɛʎkus
slavnom	ˈsɫavnɔm
došku	ˈdɔʃku
paulíne	ˈpauliːnɛ
boseho	ˈbɔsɛhɔ
vareným	ˈvarɛniːm
dopíšeme	ˈdɔpiːʃɛmɛ
vrze	ˈvrzɛ
moca	ˈmɔtsa
busta	ˈbusta
spovedník	ˈspɔvɛdɲiːk
ztratím	ˈztratiːm
saurus	ˈsaurus
karam	ˈkaram
betka	ˈbɛtka
cem	ˈtsɛm
doba	ˈdɔba
zľaka	ˈzʎaka
haslo	ˈɦasɫɔ
kantov	ˈkantɔv
trej	ˈtrɛj
tjap	ˈtjap
pokrája	ˈpɔkraːja
dvojtý	ˈdvɔjtiː
zaseje	ˈzasɛjɛ
kanta	ˈkanta
šerom	ˈʃɛrɔm
krav	ˈkrav
jíst	ˈjiːst
štvoro	ˈʃtvɔrɔ
nadýcha	ˈnadiːxa
kolu	ˈkɔɫu
výrus	ˈviːrus
seb	ˈsɛb
mojko	ˈmɔjkɔ
vozna	ˈvɔzna
toje	ˈtɔjɛ
stastní	ˈstastniː
basket	ˈbaskɛt
šable	ˈʃablɛ
smrek	ˈsmrɛk
sprat	ˈsprat
pojeme	ˈpɔjɛmɛ
bed	ˈbɛd
bazda	ˈbazda
skonal	ˈskɔnal
pozemkový	ˈpɔzɛmkɔviː
tombo	ˈtɔmbɔ
zeebad	ˈzɛbad
dola	ˈdɔɫa
zmotaný	ˈzmɔtaniː
voskuješ	ˈvɔskujɛʃ
zlat	ˈzɫat
sadí	ˈsadiː
zva	ˈzva
kes	ˈkɛs
vrat	ˈvrat
halo	ˈɦaɫɔ
zosadí	ˈzɔsadiː
vasím	ˈvasiːm
vyhrala	ˈvihrala
vyhraia	ˈvihra
zjec	ˈzjɛt
tvarov	ˈtvarɔv
safe	ˈsafɛ
kuše	ˈkuʃɛ
kroc	ˈkrɔt
zvojho	ˈzvɔjhɔ
sos	ˈsɔs
posebe	ˈpɔsɛbɛ
stona	ˈstɔna
vecnu	ˈvɛtsnu
bose	ˈbɔsɛ
zastave	ˈzastavɛ
zlostí	ˈzɫɔstiː
santa	ˈsanta
doš	ˈdɔʃ
navodu	ˈnavɔdu
doj	ˈdɔj
započula	ˈzapɔtʃulɑ
pobudnem	ˈpɔbudɲɛm
podle	ˈpɔdlɛ
surnom	ˈsurnɔm
hraješ	ˈɦrajɛʃ
zvraca	ˈzvratsa
veerou	ˈvɛrɔu
vaty	ˈvati
dames	ˈdamɛs
zasklí	ˈzaskliː
svedka	ˈsvɛdka
nemkou	ˈɲɛmkɔu
dorazme	ˈdɔrazmɛ
zrubu	ˈzrubu
mackou	ˈmatskɔu
daws	ˈdas
serna	ˈsɛrna
dorovnal	ˈdɔrɔvnal
spokojným	ˈspɔkɔjniːm
chok	ˈxɔk
kempy	ˈkɛmpi
zmerat	ˈzmɛrat
mouse	ˈmɔusɛ
domace	ˈdɔmatsɛ
strukov	ˈstrukɔv
slav	ˈsɫav
zaruku	ˈzaruku
vpredu	ˈvprɛdu
stud	ˈstud
zakotví	ˈzakɔtviː
čajou	ˈtʃajɔu
vasu	ˈvasu
tují	ˈtujiː
tucha	ˈtuxa
steelom	ˈstɛlɔm
stredovek	ˈstrɛdɔvɛk
carm	ˈtsarm
zadných	ˈzadniːx
zvratom	ˈzvratɔm
znat	ˈznat
tepna	ˈtɛpna
kupova	ˈkupɔva
ženšenový	ˈʒɛnɔviː
vśetkých	ˈvɛtkiːx
zdroja	ˈzdrɔja
podnebných	ˈpɔdɲɛbniːx
budapest	ˈbudapɛst
kopat	ˈkɔpat
svojemu	ˈsvɔjɛmu
chova	ˈxɔva
smeru	ˈsmɛru
šov	ˈʃɔv
jamo	ˈjamɔ
senom	ˈsɛnɔm
zjaví	ˈzjaviː
serrano	ˈsɛranɔ
sprava	ˈsprava
slušná	ˈsɫuʃnaː
volna	ˈvɔlna
vyhladovaný	ˈvihladɔvaniː
troske	ˈtrɔskɛ
šao	ˈʃaɔ
vaca	ˈvatsa
šľap	ˈʃʎap
verná	ˈvɛrnaː
vzdor	ˈvzdɔr
konec	ˈkɔnɛt
boomera	ˈbɔmɛra
vlnka	ˈvɫnka
zlostný	ˈzɫɔstniː
sena	ˈsɛna
pralesom	ˈpralɛsɔm
kurte	ˈkurtɛ
valom	ˈvalɔm
vírový	ˈviːrɔviː
pokusíme	ˈpɔkusiːmɛ
duce	ˈdutsɛ
snou	ˈsnɔu
čest	ˈtʃɛst
spent	ˈspɛnt
pozrel	ˈpɔzrɛl
zatavený	ˈzatavɛniː
pornoš	ˈpɔrnɔʃ
vrecka	ˈvrɛtska
psím	ˈpsiːm
čaja	ˈtʃaja
baal	ˈbaɫ
čístý	ˈtʃiːstiː
vylej	ˈvilɛj
drbov	ˈdrbɔv
sadaj	ˈsadaj
dora	ˈdɔra
strope	ˈstrɔpɛ
zvol	ˈzvɔl
veslam	ˈvɛsɫam
štrajku	ˈʃtrajku
spreja	ˈsprɛja
vyštal	ˈviʃtal
jožko	ˈjɔʒkɔ
zvaľte	ˈzvaʎtɛ
kora	ˈkɔra
soko	ˈsɔkɔ
šarkan	ˈʃarkan
bojarov	ˈbɔjarɔv
vadní	ˈvadɲiː
postalo	ˈpɔstɑlɔ
nehľade	ˈɲɛɦʎaɟɛ
poznatkov	ˈpɔznatkɔv
čaju	ˈtʃaju
zbroje	ˈzbrɔjɛ
veľm	ˈvɛʎm
strajku	ˈstrajku
pskov	ˈpskɔv
kravský	ˈkravskiː
sawada	ˈsada
vedrom	ˈvɛdrɔm
stranou	ˈstranɔu
pokute	ˈpɔkutɛ
presnom	ˈprɛsnɔm
kulový	ˈkulɔviː
zore	ˈzɔrɛ
výtvoj	ˈviːtvɔj
slant	ˈsɫant
kapotu	ˈkapɔtu
bend	ˈbɛnd
zrus	ˈzrus
chradne	ˈxradɲɛ
zastavení	ˈzastavɛniː
vzdas	ˈvzdas
kady	ˈkadi
kurvo	ˈkurvɔ
dus	ˈdus
basov	ˈbasɔv
spolus	ˈspɔɫus
kupu	ˈkupu
monu	ˈmɔnu
zastavý	ˈzastaviː
výbavu	ˈviːbavu
sport	ˈspɔrt
koznu	ˈkɔznu
stemp	ˈstɛmp
štrnást	ˈʃtrnaːst
vystreľoval	ˈvistrɛʎɔval
skos	ˈskɔs
zdoj	ˈzdɔj
podnet	ˈpɔdɲɛt
doha	ˈdɔɦa
zaj	ˈzaj
sty	ˈsti
baretka	ˈbarɛtka
dvera	ˈdvɛra
povestných	ˈpɔvɛstniːx
busom	ˈbusɔm
spodom	ˈspɔdɔm
sedona	ˈsɛdɔna
bazen	ˈbazɛn
orko	ˈɔrkɔ
zakladných	ˈzakladniːx
zostupové	ˈzɔstupɔvɛː
mod	ˈmɔd
kandra	ˈkandra
postupom	ˈpɔstupɔm
sanovu	ˈsanɔvu
ketel	ˈkɛtɛl
temou	ˈtɛmɔu
mankova	ˈmankɔva
zatra	ˈzatra
vedze	ˈvɛdzɛ
konam	ˈkɔnam
vadne	ˈvadɲɛ
postu	ˈpɔstu
zdal	ˈzdal
splne	ˈspɫɲɛ
vymenou	ˈvimɛnɔu
skorí	ˈskɔriː
pusík	ˈpusiːk
sľud	ˈsʎud
zny	ˈzni
slanou	ˈsɫanɔu
udní	ˈudɲiː
posudku	ˈpɔsudku
šokuje	ˈʃɔkujɛ
karasawa	ˈkarasa
šejkom	ˈʃɛjkɔm
stome	ˈstɔmɛ
tobre	ˈtɔbrɛ
vozíme	ˈvɔziːmɛ
dou	ˈdɔu
potoka	ˈpɔtɔka
stavíme	ˈstaviːmɛ
premohol	ˈprɛmɔɦɔɫ
santal	ˈsantal
bezat	ˈbɛzat
vanov	ˈvanɔv
zety	ˈzɛti
strávenu	ˈstraːvɛnu
stvojím	ˈstvɔjiːm
síry	ˈsiːri
mods	ˈmɔds
varom	ˈvarɔm
mone	ˈmɔnɛ
bodo	ˈbɔdɔ
zadýcha	ˈzadiːxa
horná	ˈɦɔrnaː
karel	ˈkarɛl
bankova	ˈbankɔva
bate	ˈbatɛ
zap	ˈzap
baskov	ˈbaskɔv
sandru	ˈsandru
boje	ˈbɔjɛ
suboru	ˈsubɔru
moser	ˈmɔsɛr
jose	ˈjɔsɛ
postel	ˈpɔstɛl
teste	ˈtɛstɛ
zrej	ˈzrɛj
tolo	ˈtɔɫɔ
potíte	ˈpɔtiːtɛ
podst	ˈpɔdst
drbeš	ˈdrbɛʃ
sep	ˈsɛp
wbu	ˈbu
zradíme	ˈzraɟiːmɛ
tuje	ˈtujɛ
skaredu	ˈskarɛdu
dobrem	ˈdɔbrɛm
postelí	ˈpɔstɛliː
sonare	ˈsɔnarɛ
vakuum	ˈvakum
zaboha	ˈzabɔɦa
bední	ˈbɛdɲiː
dejtu	ˈdɛjtu
vezou	ˈvɛzɔu
zrovnaj	ˈzrɔvnaj
západne	ˈzaːpadɲɛ
čare	ˈtʃarɛ
spravíme	ˈspraviːmɛ
vonke	ˈvɔnkɛ
japon	ˈjapɔn
harm	ˈɦarm
dolný	ˈdɔɫniː
žasla	ˈʒasɫa
predošlý	ˈprɛdɔʃliː
nete	ˈɲɛtɛ
badu	ˈbadu
haber	ˈɦabɛr
vysle	ˈvislɛ
celky	ˈtsɛlki
bale	ˈbaɫɛ
stas	ˈstas
baja	ˈbaja
kompe	ˈkɔmpɛ
dneška	ˈdɲɛʃka
dumb	ˈdumb
somrak	ˈsɔmrak
stravenky	ˈstravɛnki
čp	ˈtʃp
verm	ˈvɛrm
zlatí	ˈzɫatiː
čulou	ˈtʃulɔu
stojky	ˈstɔjki
bolanda	ˈbɔɫanda
każdy	ˈkadi
pľuje	ˈpʎujɛ
buduj	ˈbuduj
výraze	ˈviːrazɛ
kavu	ˈkavu
sprobuj	ˈsprɔbuj
vastný	ˈvastniː
best	ˈbɛst
žabka	ˈʒabka
šrajk	ˈʃrajk
zadu	ˈzadu
vež	ˈvɛʒ
vyslo	ˈvislɔ
vśak	ˈvak
kostre	ˈkɔstrɛ
šekový	ˈʃɛkɔviː
sedavý	ˈsɛdaviː
slavu	ˈsɫavu
čulo	ˈtʃulɔ
sabove	ˈsabɔvɛ
krachom	ˈkraxɔm
skušal	ˈskuʃal
vyhne	ˈvihnɛ
zvrate	ˈzvratɛ
jump	ˈjump
somarín	ˈsɔmariːn
verny	ˈvɛrni
kunove	ˈkunɔvɛ
safra	ˈsafra
hradný	ˈɦradniː
tvoho	ˈtvɔɦɔ
seco	ˈsɛtsɔ
pozdná	ˈpɔzdnaː
sato	ˈsatɔ
zosadne	ˈzɔsadɲɛ
vatu	ˈvatu
chovalo	ˈxɔvalɔ
strelných	ˈstrɛlniːx
zvolíš	ˈzvɔliːʃ
vedme	ˈvɛdmɛ
zdrbat	ˈzdrbat
hojí	ˈɦɔjiː
kopov	ˈkɔpɔv
poje	ˈpɔjɛ
chou	ˈxɔu
stuňov	ˈstuɲɔv
splu	ˈspɫu
zrovnám	ˈzrɔvnaːm
tvaram	ˈtvaram
výhrad	ˈviːhrad
počulo	ˈpɔtʃulɔ
sanov	ˈsanɔv
santu	ˈsantu
strase	ˈstrasɛ
vrazme	ˈvrazmɛ
sure	ˈsurɛ
tích	ˈtiːx
škrobený	ˈʃkrɔbɛniː
zapojíme	ˈzapɔjiːmɛ
stonal	ˈstɔnal
dara	ˈdara
jasu	ˈjasu
cora	ˈtsɔra
pokusu	ˈpɔkusu
konáru	ˈkɔnaːru
mudro	ˈmudrɔ
vlka	ˈvɫka
zrube	ˈzrubɛ
strun	ˈstrun
znou	ˈznɔu
bona	ˈbɔna
kostele	ˈkɔstɛlɛ
vyholený	ˈvihɔlɛniː
poseru	ˈpɔsɛru
spadnes	ˈspadɲɛs
vosen	ˈvɔsɛn
sambor	ˈsambɔr
zvrane	ˈzvraɲɛ
zversky	ˈzvɛrski
zapísem	ˈzapiːsɛm
vespe	ˈvɛspɛ
duse	ˈdusɛ
koľk	ˈkɔʎk
čok	ˈtʃɔk
vad	ˈvad
pohanka	ˈpɔɦanka
vrak	ˈvrak
víte	ˈviːtɛ
sof	ˈsɔf
krovím	ˈkrɔviːm
traf	ˈtraf
toe	ˈtɔɛ
pasíva	ˈpasiːva
truc	ˈtrut
medom	ˈmɛdɔm
besný	ˈbɛsniː
joël	ˈjɔɫ
slušnou	ˈsɫuʃnɔu
psík	ˈpsiːk
drakov	ˈdrakɔv
skorej	ˈskɔrɛj
kodo	ˈkɔdɔ
zeka	ˈzɛka
vana	ˈvana
stopka	ˈstɔpka
bazuka	ˈbazuka
sankt	ˈsankt
sua	ˈsua
saune	ˈsaunɛ
vyberej	ˈvibɛrɛj
tort	ˈtɔrt
zdravým	ˈzdraviːm
senzus	ˈsɛnzus
vodsa	ˈvɔdsa
kamu	ˈkamu
voru	ˈvɔru
joram	ˈjɔram
bes	ˈbɛs
vyhnem	ˈvihnɛm
výbusný	ˈviːbusniː
sadou	ˈsadɔu
skejt	ˈskɛjt
státě	ˈstɑːt
zmysly	ˈzmisli
vradu	ˈvradu
vetrom	ˈvɛtrɔm
saves	ˈsavɛs
koľaje	ˈkɔʎajɛ
zapotí	ˈzapɔtiː
podlým	ˈpɔdliːm
zabudneš	ˈzabudɲɛʃ
stavky	ˈstavki
kasína	ˈkasiːna
blame	ˈblamɛ
tajna	ˈtajna
bambaataa	ˈbambata
podla	ˈpɔdɫa
poser	ˈpɔsɛr
kurvu	ˈkurvu
zadaný	ˈzadaniː
zebu	ˈzɛbu
maškov	ˈmaʃkɔv
hádka	ˈɦaːdka
zjete	ˈzjɛtɛ
vstupný	ˈvstupniː
podoj	ˈpɔdɔj
soule	ˈsɔulɛ
ceta	ˈtsɛta
moore	ˈmɔrɛ
zonka	ˈzɔnka
koláču	ˈkɔɫaːtʃu
kramo	ˈkramɔ
zajeme	ˈzajɛmɛ
božských	ˈbɔʒskiːx
doru	ˈdɔru
jovu	ˈjɔvu
jebo	ˈjɛbɔ
sloha	ˈsɫɔɦa
znava	ˈznava
kana	ˈkana
vaj	ˈvaj
neumí	ˈɲɛumiː
kept	ˈkɛpt
varí	ˈvariː
zrnd	ˈzrnd
dakým	ˈdakiːm
zdas	ˈzdas
konám	ˈkɔnaːm
vyhoval	ˈvihɔval
zobe	ˈzɔbɛ
peší	ˈpɛʃiː
sotí	ˈsɔtiː
plačeme	ˈpɫatʃɛmɛ
zvalte	ˈzvaltɛ
bezva	ˈbɛzva
dnešny	ˈdɲɛʃni
sadrových	ˈsadrɔviːx
zmeska	ˈzmɛska
neznou	ˈɲɛznɔu
kvan	ˈkvan
pokusím	ˈpɔkusiːm
hodu	ˈɦɔdu
zajka	ˈzajka
beet	ˈbɛt
hase	ˈɦasɛ
skolíte	ˈskɔliːtɛ
spod	ˈspɔd
spot	ˈspɔt
vystupoval	ˈvistupɔval
hrbu	ˈɦrbu
tľap	ˈtʎap
poj	ˈpɔj
časov	ˈtʃasɔv
vrazí	ˈvraziː
jo	ˈjɔ
dbes	ˈdbɛs
hms	ˈɦms
koru	ˈkɔru
spote	ˈspɔtɛ
jow	ˈjɔ
zamotaný	ˈzamɔtaniː
ľude	ˈʎuɟɛ
boomu	ˈbɔmu
skete	ˈskɛtɛ
suke	ˈsukɛ
započul	ˈzapɔtʃul
bomp	ˈbɔmp
pohanat	ˈpɔɦanat
domácka	ˈdɔmaːtska
študuj	ˈʃtuduj
zhabe	ˈzhabɛ
hube	ˈɦubɛ
jaso	ˈjasɔ
dvojake	ˈdvɔjakɛ
predošlí	ˈprɛdɔʃliː
korená	ˈkɔrɛnaː
krensky	ˈkrɛnski
dres	ˈdrɛs
stanoví	ˈstanɔviː
zapata	ˈzapata
vymením	ˈvimɛniːm
hoon	ˈɦɔn
spoorom	ˈspɔrɔm
povedomí	ˈpɔvɛdɔmiː
vynoruje	ˈvinɔrujɛ
dopíš	ˈdɔpiːʃ
kasu	ˈkasu
nepobudneš	ˈɲɛpɔbudɲɛʃ
zástupoch	ˈzaːstupɔx
zmaľoval	ˈzmaʎɔval
zera	ˈzɛra
neškodne	ˈɲɛʃkɔdɲɛ
výhl	ˈviːhl
dvoja	ˈdvɔja
somaľ	ˈsɔmaʎ
dobyje	ˈdɔbijɛ
stamp	ˈstamp
madony	ˈmadɔni
dovere	ˈdɔvɛrɛ
vyša	ˈviʃa
zdobena	ˈzdɔbɛna
pláneta	ˈpɫaːnɛta
zavesíme	ˈzavɛsiːmɛ
pozres	ˈpɔzrɛs
zaba	ˈzaba
vyhrabe	ˈvihrabɛ
šreka	ˈʃrɛka
stoho	ˈstɔɦɔ
susta	ˈsusta
zubu	ˈzubu
barona	ˈbarɔna
beeho	ˈbɛɦɔ
zohna	ˈzɔɦna
torenom	ˈtɔrɛnɔm
vedmu	ˈvɛdmu
vyslov	ˈvislɔv
veký	ˈvɛkiː
sestu	ˈsɛstu
spravaj	ˈspravaj
sušených	ˈsuʃɛniːx
kupes	ˈkupɛs
jalovo	ˈjalɔvɔ
vojakov	ˈvɔjakɔv
ženským	ˈʒɛnskiːm
snom	ˈsnɔm
mocí	ˈmɔtsiː
vykon	ˈvikɔn
vers	ˈvɛrs
zbožnom	ˈzbɔʒnɔm
dvorom	ˈdvɔrɔm
bavu	ˈbavu
zmenku	ˈzmɛnku
koralína	ˈkɔraliːna
zostup	ˈzɔstup
zmesí	ˈzmɛsiː
spácha	ˈspaːxa
stvoríme	ˈstvɔriːmɛ
volno	ˈvɔlnɔ
vamy	ˈvami
zara	ˈzara
šajba	ˈʃajba
nelu	ˈɲɛlu
podlej	ˈpɔdlɛj
stopu	ˈstɔpu
pozro	ˈpɔzrɔ
pods	ˈpɔds
suku	ˈsuku
porazka	ˈpɔrazka
treme	ˈtrɛmɛ
pomerom	ˈpɔmɛrɔm
vežou	ˈvɛʒɔu
vakom	ˈvakɔm
odpo	ˈɔdpɔ
usek	ˈusɛk
zlobu	ˈzɫɔbu
podrobený	ˈpɔdrɔbɛniː
sporo	ˈspɔrɔ
hara	ˈɦara
zorn	ˈzɔrn
svetove	ˈsvɛtɔvɛ
šedých	ˈʃɛdiːx
stráveným	ˈstraːvɛniːm
stope	ˈstɔpɛ
dvs	ˈdvs
cub	ˈtsub
skvalý	ˈskvaliː
nepadne	ˈɲɛpadɲɛ
temne	ˈtɛmnɛ
morový	ˈmɔrɔviː
korých	ˈkɔriːx
medových	ˈmɛdɔviːx
sumo	ˈsumɔ
tvých	ˈtviːx
vyhas	ˈvihas
bantam	ˈbantam
joko	ˈjɔkɔ
pokus	ˈpɔkus
zod	ˈzɔd
trpím	ˈtrpiːm
jonáš	ˈjɔnaːʃ
sabov	ˈsabɔv
žalmy	ˈʒaɫmi
vnemy	ˈvɲɛmi
zajkom	ˈzajkɔm
zapík	ˈzapiːk
suo	ˈsuɔ
madona	ˈmadɔna
moora	ˈmɔra
želaný	ˈʒɛɫaniː
streľa	ˈstrɛʎa
zadus	ˈzadus
krst	ˈkrst
tora	ˈtɔra
cco	ˈtsɔ
strune	ˈstrunɛ
dabs	ˈdabs
súrnu	ˈsuːrnu
vetou	ˈvɛtɔu
korune	ˈkɔrunɛ
vyslovíš	ˈvislɔviːʃ
tojom	ˈtɔjɔm
daru	ˈdaru
budu	ˈbudu
cet	ˈtsɛt
totoje	ˈtɔjɛ
vous	ˈvɔus
uprel	ˈuprɛl
doješ	ˈdɔjɛʃ
poznatok	ˈpɔznatɔk
vľak	ˈvʎak
drek	ˈdrɛk
varený	ˈvarɛniː
stravný	ˈstravniː
slama	ˈsɫama
poletí	ˈpɔlɛtiː
kroch	ˈkrɔx
potkany	ˈpɔtkani
sukromný	ˈsukrɔmniː
zajeb	ˈzajɛb
celu	ˈtsɛlu
katom	ˈkatɔm
doktore	ˈdɔktɔrɛ
žela	ˈʒɛɫa
come	ˈtsɔmɛ
spoločných	ˈspɔɫɔtʃniːx
budnu	ˈbudnu
skromnom	ˈskrɔmnɔm
back	ˈbats
verme	ˈvɛrmɛ
krvný	ˈkrvniː
zostrelený	ˈzɔstrɛlɛniː
namocený	ˈnamɔtsɛniː
výroč	ˈviːrɔt
dbs	ˈdbs
batom	ˈbatɔm
serus	ˈsɛrus
hľadím	ˈɦʎadiːm
stoky	ˈstɔki
srely	ˈsrɛli
jato	ˈjatɔ
vest	ˈvɛst
če	ˈtʃɛ
tambo	ˈtambɔ
beľa	ˈbɛʎa
podkutý	ˈpɔdkutiː
vymenu	ˈvimɛnu
zvodne	ˈzvɔdɲɛ
pozemku	ˈpɔzɛmku
povedte	ˈpɔvɛdtɛ
saj	ˈsaj
nahodí	ˈnaɦɔdiː
jez	ˈjɛz
backy	ˈbatski
výduch	ˈviːdux
sety	ˈsɛti
varena	ˈvarɛna
bonemu	ˈbɔnɛmu
vetrací	ˈvɛtratsiː
vata	ˈvata
zacha	ˈzaxa
toma	ˈtɔma
spoved	ˈspɔvɛd
kých	ˈkiːx
člo	ˈtʃɫɔ
just	ˈjust
vem	ˈvɛm
zotro	ˈzɔtrɔ
kapsu	ˈkapsu
skale	ˈskalɛ
banských	ˈbanskiːx
zlákala	ˈzɫaːka
kusaj	ˈkusaj
moke	ˈmɔkɛ
želatína	ˈʒɛɫatiːna
kosko	ˈkɔskɔ
kvantom	ˈkvantɔm
stonky	ˈstɔnki
zdar	ˈzdar
solný	ˈsɔɫniː
joro	ˈjɔrɔ
zmaloval	ˈzmalɔval
trom	ˈtrɔm
bájna	ˈbaːjna
sacku	ˈsatsku
subor	ˈsubɔr
zdrví	ˈzdrviː
dolej	ˈdɔlɛj
pomstí	ˈpɔmstiː
vzpomen	ˈvzpɔmɛn
plazme	ˈpɫazmɛ
mose	ˈmɔsɛ
zartu	ˈzartu
bojíš	ˈbɔjiːʃ
kostole	ˈkɔstɔlɛ
temu	ˈtɛmu
vaha	ˈvaɦa
bankovým	ˈbankɔviːm
vrecom	ˈvrɛtsɔm
kock	ˈkɔts
vyplač	ˈviplat
podom	ˈpɔdɔm
zatĺka	ˈzatka
zvedaví	ˈzvɛdaviː
čuro	ˈtʃurɔ
safa	ˈsafa
dobra	ˈdɔbra
krajských	ˈkrajskiːx
vśetkom	ˈvɛtkɔm
spajá	ˈspajaː
čestnou	ˈtʃɛstnɔu
dementko	ˈdɛmɛntkɔ
zaratala	ˈzaratala
šeku	ˈʃɛku
žľaboch	ˈʒʎabɔx
tavený	ˈtavɛniː
zloba	ˈzɫɔba
sako	ˈsakɔ
kalna	ˈkaɫna
dorazím	ˈdɔraziːm
vrkoč	ˈvrkɔt
vojstva	ˈvɔjstva
koda	ˈkɔda
vadu	ˈvadu
dvoru	ˈdvɔru
pocítac	ˈpɔtsiːt
nadoru	ˈnadɔru
zlatu	ˈzɫatu
vzatý	ˈvzatiː
svojm	ˈsvɔjm
zha	ˈzha
stupa	ˈstupa
volaš	ˈvɔlɑʃ
domeno	ˈdɔmɛnɔ
slavku	ˈsɫavku
markových	ˈmarkɔviːx
zve	ˈzvɛ
kureta	ˈkurɛta
jams	ˈjams
vatra	ˈvatra
tojo	ˈtɔjɔ
stadu	ˈstadu
doku	ˈdɔku
kompl	ˈkɔmpl
celer	ˈtsɛlɛr
mor	ˈmɔr
sporením	ˈspɔrɛniːm
toľkým	ˈtɔʎkiːm
banskom	ˈbanskɔm
volenka	ˈvɔlɛnka
vra	ˈvra
plavíme	ˈpɫaviːmɛ
daruješ	ˈdarujɛʃ
zkus	ˈzkus
bazový	ˈbazɔviː
spojom	ˈspɔjɔm
vaton	ˈvatɔn
basových	ˈbasɔviːx
pojebaných	ˈpɔjɛbaniːx
koopu	ˈkɔpu
načo	ˈnatʃɔ
sporný	ˈspɔrniː
dotkal	ˈdɔtkal
vlasova	ˈvɫasɔva
kanoka	ˈkanɔka
vleky	ˈvɫɛki
zdobenom	ˈzdɔbɛnɔm
peau	ˈpɛau
slavk	ˈsɫavk
skoda	ˈskɔda
vytlakom	ˈvitɫakɔm
stopom	ˈstɔpɔm
zdroju	ˈzdrɔju
paše	ˈpaʃɛ
sudu	ˈsudu
sune	ˈsunɛ
volu	ˈvɔlu
makový	ˈmakɔviː
bakesa	ˈbakɛsa
zavesím	ˈzavɛsiːm
vazenu	ˈvazɛnu
hors	ˈɦɔrs
kao	ˈkaɔ
postrachom	ˈpɔstraxɔm
boduješ	ˈbɔdujɛʃ
pozrem	ˈpɔzrɛm
sobas	ˈsɔbas
vysaje	ˈvisajɛ
halaa	ˈɦaɫa
seme	ˈsɛmɛ
výskume	ˈviːskumɛ
výhre	ˈviːhrɛ
strap	ˈstrap
spat	ˈspat
zobuj	ˈzɔbuj
drezu	ˈdrɛzu
pakujeme	ˈpakujɛmɛ
vzda	ˈvzda
bavíme	ˈbaviːmɛ
vestou	ˈvɛstɔu
behu	ˈbɛɦu
neľutuje	ˈɲɛʎujɛ
pokusal	ˈpɔkusal
stvora	ˈstvɔra
svetoví	ˈsvɛtɔviː
šrob	ˈʃrɔb
držbe	ˈdrʒbɛ
koe	ˈkɔɛ
soso	ˈsɔsɔ
vyhnaia	ˈvihna
dost	ˈdɔst
dzs	ˈdzs
vymeškal	ˈvimɛʃkal
verou	ˈvɛrɔu
pobavíme	ˈpɔbaviːmɛ
zavrený	ˈzavrɛniː
carron	ˈtsarɔn
háda	ˈɦaːda
čes	ˈtʃɛs
vojensku	ˈvɔjɛnsku
zltej	ˈzɫtɛj
dor	ˈdɔr
spravý	ˈspraviː
spodku	ˈspɔdku
zmyslovej	ˈzmislɔvɛj
kosu	ˈkɔsu
drbe	ˈdrbɛ
bankovku	ˈbankɔvku
skovaný	ˈskɔvaniː
vedomých	ˈvɛdɔmiːx
slavnoj	ˈsɫavnɔj
zveme	ˈzvɛmɛ
bájka	ˈbaːjka
chora	ˈxɔra
zruseny	ˈzrusɛni
skor	ˈskɔr
dracov	ˈdratsɔv
kurvý	ˈkurviː
pozastavený	ˈpɔzastavɛniː
spavat	ˈspavat
chooka	ˈxɔka
